h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.001174092,0.0,0.072367751,0.327375254,0.476459653,0.485220182,0.475074362,0.480993936,0.481704797,0.48142051,0.474035419,0.474598029,0.475604278,0.477553112,0.714108056,0.978859944,1.0,1.0,1.0,0.696829072,0.40128819,0.306328036,0.131024587
0.000802283,0.0,0.06385747,0.320294562,0.475745519,0.481226494,0.477396606,0.470121661,0.471484569,0.47961239,0.479462045,0.41054863,0.481792869,0.351543813,0.731952454,0.851231787,1.0,1.0,1.0,1.0,0.995957553,0.669652725,0.31652416
0.431221692,0.246066534,0.178684511,0.167298448,0.176595778,0.0,0.517589263,0.544988504,0.567656656,0.576426006,0.576506022,0.576050471,0.576398364,0.576699695,0.740965787,0.7780846,0.980436774,0.993537689,0.998698732,1.0,1.0,1.0,0.99994271
0.002318036,0.0,0.079164912,0.385739034,0.479446865,0.553212774,0.470017836,0.480267392,0.483708744,0.48412538,0.482839774,0.481207758,0.473754725,0.477877046,0.824570388,0.996633036,1.0,1.0,0.999322342,0.700139178,0.371192109,0.132107773,0.003421077
0.180384479,0.178088662,0.264421743,0.562236929,0.610278406,0.682078134,0.569873163,0.576213242,0.574936531,0.57357638,0.574918272,0.569121069,0.560824568,0.608044501,0.867488628,1.0,1.0,1.0,1.0,0.743900823,0.577804925,0.0,0.252731514
0.0,0.000219519,0.08336531,0.374130873,0.470820957,0.480028024,0.480437251,0.477226089,0.479648181,0.481359572,0.482805527,0.481719203,0.393480262,0.418330797,0.72755598,0.979124973,1.0,1.0,1.0,1.0,0.93907925,0.504922538,0.434895062
0.178594954,0.176858086,0.254536686,0.522941564,0.619905489,0.655859649,0.566110614,0.576699102,0.576992749,0.576517956,0.576413951,0.575090524,0.507565232,0.569087702,0.79285181,0.983572352,1.0,1.0,1.0,0.999807728,0.75161851,0.431221692,0.0
0.179519144,0.181435322,0.198421046,0.0,0.574962256,0.574220474,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.432357976,0.638839675,0.849693135,0.976045637,1.0,1.0,1.0,1.0,1.0,0.991395907
0.000823809,0.0,0.05545929,0.30600004,0.480688062,0.481082008,0.480051186,0.475410678,0.47416415,0.470704075,0.469633939,0.3968337,0.48138638,0.30600004,0.47635731,0.683899408,0.832159059,0.997347323,1.0,0.999981259,0.736667582,0.40742926,0.30600004
0.18133826,0.180411153,0.239416929,0.471235842,0.563482167,0.568945466,0.570591816,0.565824683,0.563244692,0.569095688,0.570539685,0.57347573,0.564780625,0.557477645,0.774663727,0.862475967,0.996586002,1.0,0.898095204,0.799386132,0.481338185,0.0,0.217920521
