h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.181270001,0.180707933,0.244705993,0.486880365,0.646671413,0.604734363,0.570648682,0.569275091,0.572166195,0.573590463,0.573488863,0.573830575,0.49245515,0.517484028,0.77651766,0.862288469,0.999820377,1.0,0.995433115,0.792901308,0.475355837,0.0,0.229025364
1.0,0.301812595,0.190874507,0.187171409,0.185170139,0.301812595,0.489067326,0.597552476,0.754531487,0.754531487,0.754531487,0.734558183,0.605288338,0.7535567,0.82504482,0.872510702,0.826612008,0.754531487,0.605711736,0.503630601,0.0,0.301812595,0.192495345
0.002013872,0.0,0.102614702,0.484724401,0.657175337,0.740016978,0.469978292,0.480230463,0.483755687,0.480436052,0.480280336,0.477997547,0.48174877,0.540546257,0.829665078,0.999898814,1.0,1.0,0.999947327,0.714599712,0.38911998,0.131633521,0.024709433
0.448288991,0.237086489,0.181506054,0.179411504,0.19041743,0.0,0.498865837,0.56146692,0.57592549,0.571737041,0.57327257,0.577609152,0.575813169,0.574232878,0.78077762,0.901848199,1.0,1.0,1.0,1.0,1.0,1.0,0.989046697
0.000173618,0.0,0.079633929,0.348959403,0.474813145,0.478217586,0.481661017,0.475886468,0.473407636,0.479311202,0.480919571,0.482198724,0.401238841,0.451447364,0.707375926,0.961898694,1.0,1.0,1.0,0.999488592,0.629606958,0.396794334,0.130946427
0.000360411,0.0,0.084786881,0.33969131,0.475612206,0.48498892,0.472426645,0.463879599,0.471587599,0.478061967,0.455851722,0.401111129,0.482546922,0.339367916,0.623003714,0.83253465,0.999796147,1.0,1.0,1.0,0.808069291,0.373226663,0.482546922
0.000940833,0.0,0.085480483,0.38809839,0.461970546,0.476313631,0.480613887,0.476341625,0.480610344,0.481534668,0.477588963,0.48337456,0.410931871,0.461499882,0.71206963,0.942675005,1.0,1.0,1.0,0.984851435,0.562621694,0.321494311,0.132140656
0.181216472,0.180251749,0.250505313,0.506481315,0.574677277,0.676336546,0.562857408,0.57460031,0.571348362,0.574184903,0.576875518,0.574465101,0.518336313,0.584746588,0.824361126,0.990687446,1.0,1.0,1.0,0.909188068,0.450339735,0.0,0.245967918
0.181011468,0.179826966,0.244039457,0.482960027,0.5872163,0.649781855,0.558758742,0.574726645,0.574722816,0.573184135,0.574254374,0.574318384,0.539050914,0.554640947,0.744024349,0.96965641,1.0,1.0,1.0,0.806809471,0.508203564,0.0,0.265187962
0.431221692,0.245731105,0.181177645,0.176829159,0.184360001,0.0,0.0,0.563362982,0.55468874,0.574958377,0.575015896,0.571659604,0.557562228,0.533938299,0.570354638,0.734188787,0.732457142,0.770300758,0.862443384,0.997979445,1.0,1.0,0.998254786
